weekly,segment,name,exchange,expiry,instrument_type,asset_symbol,underlying_symbol,instrument_key,lot_size,freeze_quantity,exchange_token,minimum_lot,asset_key,underlying_key,tick_size,asset_type,underlying_type,trading_symbol,strike_price,qty_multiplier,isin,mtf_enabled,mtf_bracket,security_type,short_name
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,PE,BANKNIFTY,BANKNIFTY,NSE_FO|59305,30,600.0,59305,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 63700 PE 25 AUG 26,63700.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,PE,BLUESTARCO,BLUESTARCO,NSE_FO|59306,325,13000.0,59306,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1480 PE 27 OCT 26,1480.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,CE,BLUESTARCO,BLUESTARCO,NSE_FO|59307,325,13000.0,59307,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1520 CE 27 OCT 26,1520.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,PE,BLUESTARCO,BLUESTARCO,NSE_FO|59308,325,13000.0,59308,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1520 PE 27 OCT 26,1520.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139521,350,14000.0,139521,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1460 CE 25 AUG 26,1460.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139522,350,14000.0,139522,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1460 PE 25 AUG 26,1460.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139523,350,14000.0,139523,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1500 CE 25 AUG 26,1500.0,1.0,,,,,
False,NSE_FO,NIFTY,NSE,1798568999000.0,CE,NIFTY,NIFTY,NSE_FO|50978,65,1755.0,50978,65.0,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,5.0,INDEX,INDEX,NIFTY 27000 CE 29 DEC 26,27000.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139524,350,14000.0,139524,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1500 PE 25 AUG 26,1500.0,1.0,,,,,
False,NSE_FO,NIFTY,NSE,1798568999000.0,PE,NIFTY,NIFTY,NSE_FO|50979,65,1755.0,50979,65.0,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,5.0,INDEX,INDEX,NIFTY 27000 PE 29 DEC 26,27000.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139525,350,14000.0,139525,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1540 CE 25 AUG 26,1540.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,PE,POLICYBZR,POLICYBZR,NSE_FO|139526,350,14000.0,139526,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1540 PE 25 AUG 26,1540.0,1.0,,,,,
False,NSE_FO,ORACLE FIN SERV SOFT LTD.,NSE,1793125799000.0,CE,OFSS,OFSS,NSE_FO|98907,100,2000.0,98907,100.0,NSE_EQ|INE881D01027,NSE_EQ|INE881D01027,5.0,EQUITY,EQUITY,OFSS 10000 CE 27 OCT 26,10000.0,1.0,,,,,
False,NSE_FO,ORACLE FIN SERV SOFT LTD.,NSE,1793125799000.0,PE,OFSS,OFSS,NSE_FO|98908,100,2000.0,98908,100.0,NSE_EQ|INE881D01027,NSE_EQ|INE881D01027,5.0,EQUITY,EQUITY,OFSS 10000 PE 27 OCT 26,10000.0,1.0,,,,,
False,NSE_FO,ORACLE FIN SERV SOFT LTD.,NSE,1793125799000.0,CE,OFSS,OFSS,NSE_FO|98903,100,2000.0,98903,100.0,NSE_EQ|INE881D01027,NSE_EQ|INE881D01027,5.0,EQUITY,EQUITY,OFSS 9600 CE 27 OCT 26,9600.0,1.0,,,,,
False,NSE_FO,ORACLE FIN SERV SOFT LTD.,NSE,1793125799000.0,PE,OFSS,OFSS,NSE_FO|98904,100,2000.0,98904,100.0,NSE_EQ|INE881D01027,NSE_EQ|INE881D01027,5.0,EQUITY,EQUITY,OFSS 9600 PE 27 OCT 26,9600.0,1.0,,,,,
